registration_no,book_no,book_label,district,office,deed_type,registration_date,presentation_date,consideration_amount,old_reg_no,year,has_scan,has_pdf,source
940399600035,4,MISC,UNKNOWN,UNKNOWN,REGISTRATION OF MARRIAGE U/S 15,,,,,1996,True,True,render_gcs_ingest
940619500144,4,MISC,UNKNOWN,UNKNOWN,GENERAL POA WITHOUT PROPERTY,,,,,1995,True,True,render_gcs_ingest
930630400013,3,WILL,GANJAM,DIGAPAHANDI,OTHER DEED,31-Mar-2004,31-Mar-2004,,13,2004,True,True,render_gcs_ingest
940609700127,4,MISC,UNKNOWN,UNKNOWN,OTHER DEED,,,,,1997,True,True,render_gcs_ingest
940810200023,4,MISC,JAJPUR,DHARMASALA,REGISTRATION OF MARRIAGE U/S 15,21-Jun-2002,21-Jun-2002,,23,2002,True,True,render_gcs_ingest
930390300019,3,WILL,CUTTACK,CUTTACK,OTHER DEED,21-Mar-2003,21-Mar-2003,,19,2003,True,True,render_gcs_ingest
940090200040,4,MISC,BALASORE,JALESWAR,BOND WITH PROPERTY,14-Aug-2002,14-Aug-2002,,40,2002,True,False,render_gcs_ingest
940969700006,4,MISC,KENDRAPARA,MARSAGHAI,GENERAL POA WITHOUT PROPERTY,20-May-1997,12-May-1997,,6,1997,True,True,render_gcs_ingest
940399700277,4,MISC,CUTTACK,CUTTACK,GENERAL POA WITHOUT PROPERTY,,,,,1997,True,True,render_gcs_ingest
940609700378,4,MISC,GANJAM,BERHAMPUR-II,GENERAL POA WITHOUT PROPERTY,12-Nov-1997,12-Nov-1997,,378,1997,True,True,render_gcs_ingest
940289700003,4,MISC,UNKNOWN,UNKNOWN,GENERAL POA WITHOUT PROPERTY,,,,,1997,True,False,render_gcs_ingest
941080200378,4,MISC,KHURDA,KHURDA(BBSR),GENERAL AGREEMENT,14-Feb-2002,14-Feb-2002,,378,2002,True,True,render_gcs_ingest
940399600420,4,MISC,UNKNOWN,CUTTACK,GENERAL POA WITHOUT PROPERTY,,,,420,1996,True,True,render_gcs_ingest
930570602992,3,WILL,GANJAM,CHHATRAPUR,OTHER DEED,19-Oct-2006,19-Oct-2006,,2992,2006,True,True,render_gcs_ingest
941080201382,4,MISC,KHURDA,KHURDA(BBSR),OTHER DEED,18-Jun-2002,18-Jun-2002,,1382,2002,True,True,render_gcs_ingest
940390200616,4,MISC,CUTTACK,CUTTACK,GENERAL AGREEMENT,29-Oct-2002,29-Oct-2002,,616,2002,True,True,render_gcs_ingest
